lines,analysis,reference,aligner,method,filtering,mass
37128,lowmap_called_genes,grch38,bismark,emseq,filt,10ng
37521,lowmap_called_genes,grch38,bismark,emseq,nofilt,200ng
37514,lowmap_called_genes,grch38,bismark,emseq,nofilt,50ng
37339,lowmap_called_genes,grch38,bismark,emseq,filt,200ng
37553,lowmap_called_genes,grch38,bwameth,emseq,nofilt,10ng
49981,lowmap_called_genes,t2t,bwameth,emseq,filt,10ng
37507,lowmap_called_genes,grch38,bwameth,emseq,filt,50ng
49966,lowmap_called_genes,t2t,bismark,emseq,filt,200ng
1089823473,calls,grch38,bwameth,wgbs,filt,200ng
1017320966,calls,grch38,bwameth,wgbs,filt,10ng
1096155756,calls,grch38,bwameth,wgbs,nofilt,50ng
1097635996,calls,grch38,bwameth,wgbs,nofilt,200ng
1149117384,calls,grch38,bwameth,emseq,nofilt,50ng
1020903383,calls,grch38,bwameth,wgbs,nofilt,10ng
1027135554,calls,t2t,bwameth,wgbs,nofilt,10ng
1102468567,calls,t2t,bwameth,wgbs,filt,200ng
1139315409,calls,grch38,bwameth,emseq,filt,10ng
1075500771,calls,t2t,bismark,wgbs,nofilt,50ng
1090848444,calls,grch38,bwameth,wgbs,filt,50ng
1104029898,calls,t2t,bwameth,wgbs,nofilt,50ng
1142090014,calls,grch38,bwameth,emseq,filt,200ng
1026835313,calls,t2t,bwameth,wgbs,filt,10ng
1076895900,calls,t2t,bismark,wgbs,filt,200ng
1103619486,calls,t2t,bwameth,wgbs,filt,50ng
1157216624,calls,t2t,bismark,emseq,filt,10ng
1078694354,calls,t2t,bismark,wgbs,nofilt,200ng
1102891669,calls,t2t,bwameth,wgbs,nofilt,200ng
973160782,calls,grch38,bismark,wgbs,nofilt,10ng
1070721662,calls,grch38,bismark,wgbs,nofilt,200ng
978240266,calls,t2t,bismark,wgbs,filt,10ng
